Timestamp,Symbol,Side,Price,Quantity,PnL
1,BTCUSDT,SELL,98465.6,0.01,0.8546
2,BTCUSDT,SELL,98113.1,0.01,3.5247
3,BTCUSDT,SELL,97994,0.01,1.191
4,BTCUSDT,SELL,97709.5,0.01,2.8451
5,BTCUSDT,SELL,96758.2,0.01,9.5133
6,BTCUSDT,BUY,97322,0.01,5.6383
7,BTCUSDT,BUY,97445.6,0.01,1.236
8,BTCUSDT,SELL,96965,0.01,4.8057
9,BTCUSDT,SELL,96424,0.01,5.4102
10,BTCUSDT,BUY,96576,0.01,1.52
11,BTCUSDT,BUY,96834.5,0.01,2.5849
12,BTCUSDT,BUY,97098.5,0.01,2.6404
13,BTCUSDT,BUY,97389.4,0.01,2.9084
14,BTCUSDT,SELL,97373,0.01,0.1641
15,BTCUSDT,BUY,97580.5,0.01,2.0757
16,BTCUSDT,BUY,97834.5,0.01,2.54
17,BTCUSDT,BUY,98370.9,0.01,5.3637
18,BTCUSDT,SELL,98192.5,0.01,1.784
19,BTCUSDT,SELL,98156.3,0.01,0.3623
20,BTCUSDT,BUY,98614.4,0.01,4.5814
21,BTCUSDT,BUY,98970.1,0.01,3.5569
22,BTCUSDT,BUY,99041.5,0.01,0.7137
23,BTCUSDT,SELL,98447.3,0.01,5.9419
24,BTCUSDT,BUY,98590.9,0.01,1.4364
25,BTCUSDT,SELL,97998.1,0.01,5.9281
26,BTCUSDT,SELL,97279.9,0.01,7.1816
27,BTCUSDT,SELL,96531.9,0.01,7.48
28,BTCUSDT,BUY,96870,0.01,3.3805
29,BTCUSDT,SELL,96296.8,0.01,5.7325
30,BTCUSDT,SELL,95942.2,0.01,3.5451
31,BTCUSDT,BUY,96783.2,0.01,8.4093
32,BTCUSDT,SELL,96737.3,0.01,0.4583
33,BTCUSDT,BUY,96860,0.01,1.2266
34,BTCUSDT,SELL,96567.5,0.01,2.9254
35,BTCUSDT,SELL,96559.4,0.01,0.0805
36,BTCUSDT,BUY,97454.8,0.01,8.9539
37,BTCUSDT,BUY,97536.9,0.01,0.8213
38,BTCUSDT,SELL,97424.4,0.01,1.1254
39,BTCUSDT,BUY,97452.7,0.01,0.2831
40,BTCUSDT,SELL,97276.7,0.01,1.7598
41,BTCUSDT,SELL,96736.2,0.01,5.4054
42,BTCUSDT,BUY,96742.1,0.01,0.0588
43,BTCUSDT,BUY,97102.3,0.01,3.6026
44,BTCUSDT,BUY,97317.9,0.01,2.1559
45,BTCUSDT,SELL,97313.3,0.01,0.0465
46,BTCUSDT,BUY,97594.8,0.01,2.815
47,BTCUSDT,BUY,97877.3,0.01,2.8251
48,BTCUSDT,BUY,98135.3,0.01,2.5803
49,BTCUSDT,BUY,99711,0.01,15.757
50,BTCUSDT,BUY,99904.4,0.01,1.934
51,BTCUSDT,SELL,97894.7,0.01,20.0973
52,BTCUSDT,SELL,97423.2,0.01,4.7147
53,BTCUSDT,BUY,97752.9,0.01,3.2967
54,BTCUSDT,SELL,96944.2,0.01,8.0864
55,BTCUSDT,SELL,95978.8,0.01,9.6543
56,BTCUSDT,SELL,95888.4,0.01,0.9037
57,BTCUSDT,BUY,95992.9,0.01,1.0448
58,BTCUSDT,BUY,96458.7,0.01,4.6583
59,BTCUSDT,BUY,96718.4,0.01,2.5961
60,BTCUSDT,SELL,96707.9,0.01,0.1044
61,BTCUSDT,BUY,96751,0.01,0.4311
62,BTCUSDT,SELL,96665.8,0.01,0.8521
63,BTCUSDT,SELL,96384,0.01,2.8182
64,BTCUSDT,SELL,96211.1,0.01,1.7291
